Filename,Step,Element,X,Y,Z,Fx,Fy,Fz,SCF_Energy,ImaginaryFrequency,ErrorTermination
,5.0,H,0.886507,-0.971337,0.811534,-7.333e-06,-6.485e-06,1.6613e-05,,,
,5.0,H,0.945172,-0.761694,-0.956269,-6.122e-06,-2.357e-06,-1.8138e-05,,,
,,,,,,,,,,,
"1,2-Dichloroethane_rdkit_conf_2.log",4.0,Cl,-1.728082,-0.47766,-0.084119,-5.6082e-05,8.113e-06,6.2256e-05,-986.300142463,0.0,False
,4.0,C,-0.665811,0.908444,0.3885,-0.000147671,8.3296e-05,-0.000274175,,,
,4.0,C,0.665812,0.908444,-0.3885,0.000147324,-9.9547e-05,0.000269036,,,
,4.0,Cl,1.728081,-0.477661,0.08412,5.769e-05,4.1279e-05,-4.6646e-05,,,
,4.0,H,-0.489886,0.84188,1.462571,-0.000142987,-4.2443e-05,-8.3576e-05,,,
,4.0,H,-1.211394,1.827684,0.167337,3.4178e-05,5.4747e-05,-2.527e-06,,,
,4.0,H,0.489888,0.841878,-1.46257,0.000139681,-8.9724e-05,4.1049e-05,,,
,4.0,H,1.211397,1.827683,-0.167338,-3.2132e-05,4.4279e-05,3.4583e-05,,,
,,,,,,,,,,,
"1,3,5-Trinitrobenzene_rdkit_conf_1.log",6.0,O,-3.327534,-1.50311,6e-05,0.000137627,-9.3416e-05,3.7567e-05,-830.002543079,0.0,False
,6.0,N,-2.864284,-0.312408,-9.2e-05,1.358e-06,-1.713e-06,-3.6211e-05,,,
,6.0,O,-3.573331,0.750428,5.2e-05,-5.4706e-05,0.000160107,1.0511e-05,,,
,6.0,C,-1.364547,-0.14883,-4.1e-05,1.953e-06,3.966e-06,1.114e-05,,,
,6.0,C,-0.828937,1.13158,-2.6e-05,1.8366e-05,-0.000127824,-2.723e-06,,,
,6.0,C,0.553387,1.25615,1.3e-05,-8.963e-06,2.732e-06,-4.883e-06,,,
,6.0,C,1.394451,0.152095,4.1e-05,9.8094e-05,7.8701e-05,2.6829e-05,,,
,6.0,C,0.811169,-1.107318,2.8e-05,3.918e-06,-7.812e-06,-6.318e-06,,,
,6.0,C,-0.565503,-1.283672,-1.1e-05,-0.000117901,4.8308e-05,-2.2419e-05,,,
,6.0,N,1.702699,-2.324336,5.2e-05,-4.433e-06,-2.91e-07,1.9547e-05,,,
,6.0,O,2.965495,-2.130161,-1.9e-05,-0.000142695,-7.0586e-05,-4.3562e-05,,,
,6.0,O,1.13677,-3.469798,-5.1e-05,0.00015967,-3.1139e-05,2.6439e-05,,,
,6.0,N,1.161589,2.636746,2.1e-05,-2.015e-06,-2.88e-07,7.858e-06,,,
,6.0,O,2.436552,2.719366,9e-06,-0.000101753,-0.000123511,-3.3438e-05,,,
,6.0,O,0.362029,3.633269,-3.9e-05,1.1873e-05,0.000162763,9.872e-06,,,
,6.0,H,-1.47091,2.007942,-4.9e-05,-1.096e-06,5.697e-06,9.6e-08,,,
,6.0,H,2.474389,0.269882,7e-05,-4.549e-06,-3.645e-06,-1.339e-06,,,
,6.0,H,-1.003465,-2.277819,-2.3e-05,5.251e-06,-2.049e-06,1.035e-06,,,
,,,,,,,,,,,
"1,4-Dibromobenzene_rdkit_conf_1.log",4.0,Br,3.273888,-0.0,1e-06,0.000316327,-1.6842e-05,7.528e-06,-5316.08159943,0.0,False
,4.0,C,1.394691,0.0,-2e-06,-0.000354682,1.8762e-05,-8.722e-06,,,
,4.0,C,0.692765,1.202188,-3e-06,-4.925e-06,-8.1948e-05,-9e-08,,,
,4.0,C,-0.692765,1.202188,1e-06,-3.753e-06,-8.1986e-05,-1.294e-06,,,
,4.0,C,-1.394691,-0.0,1e-06,0.0003547,-1.8749e-05,8.544e-06,,,
,4.0,Br,-3.273888,0.0,0.0,-0.000316339,1.6841e-05,-7.521e-06,,,
,4.0,C,-0.692765,-1.202188,1e-06,4.948e-06,8.1979e-05,3.98e-07,,,
,4.0,C,0.692765,-1.202188,-2e-06,3.746e-06,8.1983e-05,1.291e-06,,,
,4.0,H,1.228373,2.143526,0.0,-5.2564e-05,-0.000122546,-2.634e-06,,,
,4.0,H,-1.228373,2.143526,0.0,3.9226e-05,-0.000127447,-9.3e-08,,,
,4.0,H,-1.228373,-2.143526,-0.0,5.2542e-05,0.000122507,2.499e-06,,,
,4.0,H,1.228373,-2.143526,-1e-06,-3.9225e-05,0.000127446,9.5e-08,,,
,,,,,,,,,,,
"1,4-Pentadiene__rdkit_conf_1.log",5.0,C,-2.356595,-0.184271,-0.152417,-3.1606e-05,5.6409e-05,3.8216e-05,-191.594066442,0.0,False
,5.0,C,-1.187604,-0.177417,0.435255,3.5329e-05,7.4375e-05,-4.339e-06,,,
,5.0,C,0.0,0.679683,-1.8e-05,2.116e-06,-2.7291e-05,-5.0093e-05,,,
,5.0,C,1.187603,-0.177443,-0.435243,-3.7699e-05,-4.5484e-05,5.7367e-05,,,
,5.0,C,2.356595,-0.184262,0.152425,2.743e-05,2.492e-06,6.9384e-05,,,
,5.0,H,-2.573232,0.436941,-1.01077,1.4918e-05,-1.7636e-05,-1.4024e-05,,,
,5.0,H,-3.167229,-0.811395,0.191855,-1.3513e-05,-3.1678e-05,-2.588e-05,,,
,5.0,H,-1.005206,-0.816069,1.293079,-9.543e-06,-4.2191e-05,1.0558e-05,,,
,5.0,H,-0.306212,1.321645,-0.825303,3.5638e-05,2.42e-06,6.781e-06,,,
,5.0,H,0.306214,1.321689,0.825232,-3.6154e-05,3.045e-06,3.423e-06,,,
,5.0,H,1.005202,-0.816143,-1.293032,1.0259e-05,3.2163e-05,-2.8798e-05,,,
,5.0,H,2.573236,0.437,1.010741,-1.3361e-05,-2.728e-06,-2.312e-05,,,
,5.0,H,3.16723,-0.811403,-0.191816,1.6186e-05,-3.897e-06,-3.9476e-05,,,
,,,,,,,,,,,
"1,4-Pentadiene__rdkit_conf_2.log",7.0,C,-2.185249,0.540685,-0.162173,-1.8619e-05,5.8035e-05,2.1191e-05,-191.594057283,0.0,False
,7.0,C,-1.264989,-0.388601,-0.193395,-1.0966e-05,-6.2662e-05,1.8365e-05,,,
,7.0,C,-0.0,-0.389448,0.662938,-2.9e-06,6.8667e-05,-2.5854e-05,,,
,7.0,C,1.264987,-0.388599,-0.193399,1.3988e-05,-6.3019e-05,1.4453e-05,,,
,7.0,C,2.185251,0.540683,-0.162172,2.5711e-05,5.729e-05,1.4512e-05,,,
,7.0,H,-2.114678,1.399419,0.491338,8.895e-06,-1.0846e-05,-1.1966e-05,,,
,7.0,H,-3.065349,0.496161,-0.788473,2.2003e-05,-1.2131e-05,-6.028e-06,,,
,7.0,H,-1.36823,-1.235526,-0.863652,7.018e-06,1.4278e-05,-1.3725e-05,,,
,7.0,H,1e-06,-1.284159,1.289561,-8.55e-07,-1.4788e-05,-3.823e-06,,,
,7.0,H,0.0,0.475727,1.32122,1.394e-06,-2.7359e-05,1.2109e-05,,,
,7.0,H,1.368222,-1.23552,-0.863663,-1.0314e-05,1.4515e-05,-1.1146e-05,,,
,7.0,H,3.06535,0.496159,-0.788474,-2.3056e-05,-1.1468e-05,7.27e-07,,,
,7.0,H,2.114685,1.399412,0.491347,-1.2298e-05,-1.0512e-05,-8.816e-06,,,
,,,,,,,,,,,
"1,4-Pentadiene__rdkit_conf_3.log",10.0,C,-2.075448,-0.395254,-0.284681,-1.94e-07,-4.197e-06,-1.1949e-05,-191.592945445,0.0,False
,10.0,C,-1.050114,-0.047298,0.449923,-7.717e-06,-1.0589e-05,1.4046e-05,,,
,10.0,C,0.009575,0.965922,0.035403,9.983e-06,2.0289e-05,-1.1795e-05,,,
,10.0,C,1.419169,0.38402,-0.093373,-1.2553e-05,2.342e-06,4.723e-06,,,
,10.0,C,1.736966,-0.884431,-0.063935,1.1527e-05,-1.0026e-05,1.2401e-05,,,
,10.0,H,-2.245551,0.01876,-1.269192,1.85e-06,7.22e-07,3.41e-07,,,
,10.0,H,-2.807206,-1.114174,0.056773,-1.75e-07,2.221e-06,3.463e-06,,,
,10.0,H,-0.912795,-0.484146,1.433226,1.892e-06,1.879e-06,2.662e-06,,,
,10.0,H,0.03987,1.772249,0.770903,-4.307e-06,-3.785e-06,3.3e-08,,,
,10.0,H,-0.271561,1.419855,-0.915123,2.157e-06,-3.291e-06,-2.972e-06,,,
,10.0,H,2.195084,1.130084,-0.231355,1.936e-06,-7.93e-07,-2.109e-06,,,
,10.0,H,2.760517,-1.215356,-0.170108,-2.778e-06,4.199e-06,-4.872e-06,,,
,10.0,H,1.000751,-1.665021,0.064851,-1.621e-06,1.029e-06,-3.972e-06,,,
,,,,,,,,,,,
1-Bromooctane_rdkit_conf_1.log,4.0,C,-6.550883,-0.505735,-1e-06,0.000100037,-0.000138499,-4.9968e-05,-2853.87646107,0.0,False
,4.0,C,-5.308334,0.405864,-5e-06,1.9661e-05,0.000302216,0.000109697,,,
,4.0,C,-3.988107,-0.396361,4e-06,-4.7719e-05,-0.000218378,-8.0473e-05,,,
,4.0,C,-2.743107,0.518344,-1e-06,-4.4784e-05,0.000124272,4.4814e-05,,,
,4.0,C,-1.423239,-0.284732,2e-06,9.5372e-05,-0.000130099,-4.6617e-05,,,
,4.0,C,-0.178919,0.630773,2e-06,0.000177063,0.000185295,7.0247e-05,,,
,4.0,C,1.13872,-0.177662,3e-06,7.5687e-05,-0.00021158,-7.7091e-05,,,
,4.0,C,2.372451,0.752308,4e-06,-0.000203537,1.856e-05,5.268e-06,,,
,4.0,Br,4.027042,-0.218407,-2e-06,0.000151484,0.000170908,6.3843e-05,,,
,4.0,H,-6.560278,-1.142652,0.879716,3.824e-05,9.275e-06,0.000103361,,,
,4.0,H,-6.560276,-1.142661,-0.879711,4.0218e-05,7.2866e-05,-7.2063e-05,,,
,4.0,H,-7.460815,0.087549,-5e-06,-0.00021337,-9.2941e-05,-3.6099e-05,,,
,4.0,H,-5.336292,1.051647,-0.875915,-6.537e-06,2.1086e-05,-7.933e-05,,,
,4.0,H,-5.336296,1.051662,0.875896,-8.207e-06,-3.5674e-05,7.4623e-05,,,
,4.0,H,-3.960207,-1.04215,-0.875816,-2.3346e-05,3.8659e-05,-6.3687e-05,,,
,4.0,H,-3.960211,-1.042134,0.875837,-2.4806e-05,-1.1359e-05,7.3303e-05,,,
,4.0,H,-2.770841,1.164091,0.875837,7.748e-06,-3.6483e-05,4.3819e-05,,,
,4.0,H,-2.770842,1.164081,-0.875846,8.768e-06,3.53e-07,-5.6629e-05,,,
,4.0,H,-1.393765,-0.930151,0.87597,6.056e-06,-5.455e-06,6.1321e-05,,,
,4.0,H,-1.393763,-0.930156,-0.875963,7.115e-06,3.5483e-05,-5.0354e-05,,,
,4.0,H,-0.205104,1.275913,-0.876382,-1.5527e-05,-3.051e-06,-7.461e-05,,,
,4.0,H,-0.205105,1.275915,0.876384,-1.6797e-05,-4.9761e-05,5.4443e-05,,,
,4.0,H,1.172582,-0.820819,0.877363,-2.2371e-05,2.3274e-05,0.0001174,,,
,4.0,H,1.172582,-0.820823,-0.877353,-2.0631e-05,9.3601e-05,-7.5011e-05,,,
,4.0,H,2.355331,1.394072,0.879967,-4.0733e-05,-0.00011388,5.8972e-05,,,
,4.0,H,2.355327,1.394074,-0.879957,-3.9085e-05,-4.8689e-05,-0.000119181,,,
,,,,,,,,,,,
1-Bromooctane_rdkit_conf_10.log,8.0,C,-5.263099,-1.312853,-0.444278,-9.243e-06,-3.996e-06,5.427e-06,-2853.87299899,0.0,False
,8.0,C,-4.465586,-0.269446,0.362249,5.619e-06,3.224e-06,-1.914e-06,,,
,8.0,C,-3.134824,0.114364,-0.323032,3.256e-06,-6.766e-06,-6.75e-07,,,
,8.0,C,-2.339528,1.156606,0.494912,-4.758e-06,1.0912e-05,3.482e-06,,,
,8.0,C,-1.056273,1.662252,-0.207433,1.195e-06,-4.09e-06,-7.51e-07,,,
,8.0,C,0.031279,0.593789,-0.470551,5.724e-06,1.992e-06,-4.559e-06,,,
,8.0,C,0.611845,-0.029729,0.817856,-2.752e-06,3.563e-06,-2.3e-08,,,
,8.0,C,1.779015,-1.007834,0.546634,1.047e-06,8.22e-06,4.803e-06,,,
,8.0,Br,3.338682,-0.156999,-0.177423,-3.433e-06,-3.585e-06,-2.747e-06,,,
,8.0,H,-5.506143,-0.931808,-1.431763,8.81e-07,9.4e-07,-6.3e-07,,,
,8.0,H,-4.688846,-2.226599,-0.565631,1.255e-06,-7e-09,-1.1e-07,,,
,8.0,H,-6.191264,-1.559649,0.062724,-6.316e-06,-2.758e-06,2.436e-06,,,
,8.0,H,-5.073015,0.624128,0.493713,2.53e-07,9.53e-07,1.78e-07,,,
,8.0,H,-4.257832,-0.664617,1.355037,4.79e-07,1.238e-06,6.74e-07,,,
,8.0,H,-3.343735,0.516214,-1.312738,8.01e-07,-8.28e-07,-4.491e-06,,,
,8.0,H,-2.536209,-0.783108,-0.460379,6.15e-07,-2.157e-06,3.338e-06,,,
,8.0,H,-2.089241,0.737559,1.46684,3.575e-06,1.397e-06,4.177e-06,,,
,8.0,H,-2.979974,2.017146,0.679577,4.1e-07,4.022e-06,-4.796e-06,,,
,8.0,H,-1.333295,2.106889,-1.161693,-6.882e-06,-9.34e-07,-8.77e-07,,,
,8.0,H,-0.62338,2.45655,0.398358,8.274e-06,9.02e-07,-2.101e-06,,,
,8.0,H,-0.367767,-0.196113,-1.102575,-2.194e-06,-2.941e-06,-1.449e-06,,,
,8.0,H,0.841621,1.064559,-1.023403,-1.3e-08,4.017e-06,-2.706e-06,,,
,8.0,H,-0.162692,-0.588736,1.339709,-9.65e-07,-6.866e-06,2.294e-06,,,
,8.0,H,0.951553,0.757782,1.487908,-2.02e-07,3.953e-06,-3.88e-07,,,
,8.0,H,1.461372,-1.782195,-0.150463,-1.559e-06,-2.296e-06,1.476e-06,,,
,8.0,H,2.067993,-1.49594,1.476447,4.934e-06,-8.109e-06,-7.1e-08,,,
,,,,,,,,,,,
1-Bromooctane_rdkit_conf_11.log,8.0,C,-5.412519,-0.600013,0.839294,1.4958e-05,-6.735e-06,-1.046e-06,-2853.8731153,0.0,False
,8.0,C,-4.172255,0.170698,0.345607,-8.191e-06,-3.095e-06,2.148e-06,,,
,8.0,C,-3.27391,-0.695356,-0.56621,6.742e-06,9.479e-06,7.517e-06,,,
,8.0,C,-2.062531,0.062944,-1.159292,-1.1581e-05,3.49e-07,-1.2209e-05,,,
,8.0,C,-1.006115,0.475773,-0.109471,1.26e-06,-4.289e-06,-1.661e-06,,,
,8.0,C,0.222867,1.141674,-0.768758,5.555e-06,5.98e-06,7.259e-06,,,
,8.0,C,1.269822,1.665521,0.241811,-6.17e-06,3.297e-06,-1.1622e-05,,,
,8.0,C,1.991024,0.570585,1.062475,2.8e-08,2.115e-06,-6.755e-06,,,
,8.0,Br,3.014987,-0.642361,-0.014869,4.815e-06,-2.484e-06,1.1061e-05,,,
,8.0,H,-5.118828,-1.47722,1.408239,-7.5e-08,1.34e-06,5.1e-08,,,
,8.0,H,-6.020791,-0.927767,0.001488,-2.3e-07,-1.04e-07,-1.7e-08,,,
,8.0,H,-6.024645,0.029953,1.477968,1.957e-06,-2.005e-06,1.206e-06,,,
,8.0,H,-3.602858,0.514055,1.206172,-2.273e-06,-8.46e-07,1.128e-06,,,
,8.0,H,-4.493406,1.055043,-0.201808,-1.619e-06,1.25e-06,-5.547e-06,,,
,8.0,H,-2.919175,-1.558911,-0.006453,-5.862e-06,2.253e-06,7.359e-06,,,
,8.0,H,-3.876589,-1.075203,-1.389295,4.17e-06,2.877e-06,-1.442e-06,,,
,8.0,H,-2.414419,0.949532,-1.683662,5.307e-06,-7.041e-06,-2.38e-06,,,
,8.0,H,-1.585705,-0.577121,-1.899499,-1.247e-06,4.497e-06,-4.386e-06,,,
,8.0,H,-0.694286,-0.406659,0.444525,1.285e-06,-7.8e-07,-1.197e-06,,,
,8.0,H,-1.445819,1.168289,0.604497,-2.118e-06,1.899e-06,3.275e-06,,,
,8.0,H,-0.113194,1.98409,-1.370059,-1.81e-06,-9.6e-08,6.663e-06,,,
,8.0,H,0.700721,0.435002,-1.444001,-1.803e-06,-4.84e-06,2.786e-06,,,
,8.0,H,0.784675,2.337885,0.94864,5.322e-06,-1.056e-06,-3.188e-06,,,
,8.0,H,2.016785,2.247466,-0.295142,-5.213e-06,2.531e-06,-1.581e-06,,,
,8.0,H,2.67182,1.044005,1.768619,-5.742e-06,-3.13e-07,4.602e-06,,,
,8.0,H,1.272865,-0.01074,1.637463,2.535e-06,-4.18e-06,-2.022e-06,,,
,,,,,,,,,,,
1-Bromooctane_rdkit_conf_12.log,7.0,C,5.598674,0.468941,-0.480441,9.143e-06,6.47e-07,-6.254e-06,-2853.87201691,0.0,False
,7.0,C,4.851116,-0.838329,-0.150518,8.555e-06,1.35e-07,2.0454e-05,,,
,7.0,C,3.310147,-0.714635,-0.219591,-2.316e-06,2.9429e-05,4.65e-07,,,
,7.0,C,2.716145,0.212277,0.865723,2.311e-06,-2.5942e-05,-1.1807e-05,,,
,7.0,C,1.169764,0.188512,0.923246,-8.025e-06,-2.143e-05,2.241e-05,,,
,7.0,C,0.496841,0.78236,-0.335803,1.3039e-05,2.846e-05,-2.1229e-05,,,
,7.0,C,-1.036241,0.954531,-0.200172,2.3415e-05,-1.3087e-05,-2.0236e-05,,,
,7.0,C,-1.789519,-0.392597,-0.116466,3.8777e-05,9.513e-06,2.5062e-05,,,
,7.0,Br,-3.692714,-0.159498,-0.050739,-9.4742e-05,2.343e-06,-1.4469e-05,,,
,7.0,H,6.671063,0.297785,-0.482983,-6.983e-06,1.36e-07,-3.623e-06,,,
,7.0,H,5.383777,1.241324,0.250803,-1.125e-06,9.212e-06,4.982e-06,,,
,7.0,H,5.312136,0.838787,-1.460512,-5.3e-07,-6.196e-06,4.167e-06,,,
,7.0,H,5.140455,-1.177467,0.842592,1.776e-06,2.281e-06,-5.432e-06,,,
,7.0,H,5.165028,-1.607394,-0.854175,-5.04e-07,-7.91e-06,-5.903e-06,,,
,7.0,H,2.880716,-1.708377,-0.105239,3.072e-06,-5.816e-06,-8.753e-06,,,
,7.0,H,3.02786,-0.355008,-1.206439,3.68e-07,-9.427e-06,4.092e-06,,,
,7.0,H,3.098302,-0.095943,1.837255,-2.76e-07,6.621e-06,-3.009e-06,,,
,7.0,H,3.048913,1.23433,0.700294,-2.416e-06,5.147e-06,1.02e-05,,,
,7.0,H,0.836337,-0.836013,1.07225,2.558e-06,1.093e-06,-1.0862e-05,,,
,7.0,H,0.849649,0.759636,1.792941,7.62e-07,7.845e-06,1.441e-06,,,
,7.0,H,0.927528,1.761688,-0.535789,-2.122e-06,2.032e-06,1.1038e-05,,,
,7.0,H,0.708305,0.156777,-1.199985,-4.314e-06,-1.0021e-05,2.791e-06,,,
,7.0,H,-1.40305,1.50722,-1.063108,-4.724e-06,-3.724e-06,1.2493e-05,,,
,7.0,H,-1.261085,1.547813,0.684068,-5.203e-06,6.261e-06,9.586e-06,,,
,7.0,H,-1.552991,-1.005985,-0.984765,1.1546e-05,-1.9091e-05,-1.576e-06,,,
,7.0,H,-1.489506,-0.943124,0.772771,1.7958e-05,1.1488e-05,-1.6029e-05,,,
,,,,,,,,,,,
1-Bromooctane_rdkit_conf_13.log,8.0,C,2.971795,-2.271281,0.015172,-5.082e-06,-1.7287e-05,6.37e-06,-2853.87053478,0.0,False
,8.0,C,3.734551,-1.021572,0.497861,7.783e-06,4.177e-06,-1.0472e-05,,,
,8.0,C,3.670805,0.172458,-0.484714,5.509e-06,4.726e-06,1.67e-07,,,
,8.0,C,2.260126,0.759677,-0.731274,-3.89e-06,2.847e-06,7.567e-06,,,
,8.0,C,1.615958,1.372335,0.533462,3.189e-06,-3.35e-07,-7.849e-06,,,
,8.0,C,0.327667,2.180779,0.244844,-4.71e-06,6.241e-06,-5.83e-06,,,
,8.0,C,-0.853094,1.373655,-0.349279,-6.014e-06,8.807e-06,1.301e-05,,,
,8.0,C,-1.395419,0.296168,0.617019,-1.784e-06,-1.8304e-05,6.103e-06,,,
,8.0,Br,-2.931961,-0.608457,-0.090767,6.444e-06,1.0762e-05,-1.0939e-05,,,
,8.0,H,3.124056,-3.094453,0.706941,5.82e-07,1.47e-07,9.4e-08,,,
,8.0,H,3.323507,-2.582005,-0.964159,-5.65e-07,2.759e-06,-1.641e-06,,,
,8.0,H,1.905275,-2.082655,-0.051602,7.39e-07,-8e-07,8.39e-07,,,
,8.0,H,3.353867,-0.719936,1.471049,-2.253e-06,1.37e-06,5.1e-06,,,
,8.0,H,4.781484,-1.285096,0.637426,1.176e-06,3.477e-06,2.67e-07,,,
,8.0,H,4.316518,0.9632,-0.106629,-5.183e-06,8.02e-07,1.64e-07,,,
,8.0,H,4.082177,-0.142559,-1.442203,-1.617e-06,-3.899e-06,1.53e-07,,,
,8.0,H,1.611937,-0.010518,-1.140645,3.557e-06,-6.3e-08,-2.894e-06,,,
,8.0,H,2.347633,1.535629,-1.489615,6.01e-07,2.42e-06,-8.79e-07,,,
,8.0,H,2.332097,2.045851,1.00055,1.283e-06,2.139e-06,2.21e-07,,,
,8.0,H,1.402476,0.589551,1.256434,-3.653e-06,1.9e-07,2.929e-06,,,
,8.0,H,0.567062,2.983972,-0.449703,3.395e-06,-2.006e-06,3.221e-06,,,
,8.0,H,-0.001727,2.649522,1.170707,2.401e-06,-4.115e-06,5.12e-07,,,
,8.0,H,-1.657463,2.068235,-0.584114,-3.007e-06,2.669e-06,-6.51e-07,,,
,8.0,H,-0.553949,0.903027,-1.282732,2.876e-06,-2.225e-06,-5.879e-06,,,
,8.0,H,-0.63293,-0.452389,0.82221,3.61e-07,-4.928e-06,-1.337e-06,,,
,8.0,H,-1.67771,0.753297,1.564377,-2.14e-06,4.29e-07,1.654e-06,,,
,,,,,,,,,,,
1-Bromooctane_rdkit_conf_14.log,8.0,C,-4.477846,1.220422,-0.799248,9.94e-07,-1.5914e-05,2.422e-06,-2853.87157838,0.0,False
,8.0,C,-4.482604,-0.01148,0.127505,2.41e-06,4.181e-06,-3.117e-06,,,
,8.0,C,-3.51402,-1.134739,-0.314475,1.964e-06,1.669e-06,2.475e-06,,,
,8.0,C,-2.013096,-0.757064,-0.323253,-4.912e-06,-1.993e-06,-4.79e-07,,,
,8.0,C,-1.457344,-0.398971,1.074212,-1.22e-07,1.1264e-05,-1.115e-06,,,
,8.0,C,0.081745,-0.244098,1.109074,1.743e-06,-7.737e-06,-6.732e-06,,,
,8.0,C,0.599072,0.973833,0.311919,6.25e-07,4.243e-06,4.372e-06,,,
,8.0,C,2.12799,1.173624,0.43165,-7.203e-06,4.018e-06,1.042e-06,,,
,8.0,Br,3.147848,-0.244664,-0.361605,3.777e-06,-2.22e-06,-1.599e-06,,,
,8.0,H,-4.688763,0.931352,-1.824604,-4.76e-07,2.578e-06,1.188e-06,,,
,8.0,H,-5.237008,1.930201,-0.484174,2.897e-06,-1.276e-06,-3.4e-07,,,
,8.0,H,-3.517709,1.725691,-0.779423,3.67e-07,-2.08e-06,-1.254e-06,,,
,8.0,H,-5.488798,-0.42633,0.150552,1.027e-06,4.883e-06,2.72e-07,,,
,8.0,H,-4.247673,0.300426,1.142634,-4.073e-06,1.148e-06,2.368e-06,,,
,8.0,H,-3.790927,-1.458731,-1.316296,3.521e-06,-1.804e-06,1.133e-06,,,
,8.0,H,-3.65528,-1.988886,0.345573,-6.012e-06,1.918e-06,-1.852e-06,,,
,8.0,H,-1.85038,0.069893,-1.009097,3.307e-06,1.695e-06,2.8e-08,,,
,8.0,H,-1.455593,-1.606554,-0.71364,-9.88e-07,3.118e-06,1.214e-06,,,
,8.0,H,-1.914796,0.521585,1.429667,-5.324e-06,-4.303e-06,9.43e-07,,,
,8.0,H,-1.734883,-1.18516,1.773963,4.376e-06,5.708e-06,-2.007e-06,,,
,8.0,H,0.546916,-1.148673,0.722982,6.855e-06,-3.58e-06,2.093e-06,,,
,8.0,H,0.395207,-0.138953,2.14628,-1.586e-06,2.007e-06,-5.002e-06,,,
,8.0,H,0.120268,1.878494,0.685024,-1.277e-06,1.414e-06,-1.837e-06,,,
,8.0,H,0.335382,0.876301,-0.738481,9.14e-07,1.199e-06,5.708e-06,,,
,8.0,H,2.412955,1.25019,1.480131,-3.57e-07,-1.719e-06,-1.619e-06,,,
,8.0,H,2.413008,2.103229,-0.05922,-2.447e-06,-8.416e-06,1.696e-06,,,
,,,,,,,,,,,
1-Bromooctane_rdkit_conf_15.log,8.0,C,4.910215,-0.456371,0.76688,1.0899e-05,8.969e-06,1.019e-05,-2853.87176364,0.0,False
,8.0,C,4.038014,-1.048181,-0.358212,1.465e-06,-2.276e-06,-9.341e-06,,,
,8.0,C,2.551228,-0.624809,-0.288606,-4.766e-06,-5.977e-06,-1.915e-06,,,
,8.0,C,2.326536,0.88333,-0.54302,-1.176e-06,-6.292e-06,-1.415e-06,,,
,8.0,C,0.834478,1.275387,-0.665822,-5.93e-07,2.924e-06,6.207e-06,,,
,8.0,C,0.041183,1.099891,0.649258,4.843e-06,4.209e-06,3.334e-06,,,
,8.0,C,-1.391673,1.679313,0.590265,7.72e-07,-1.869e-06,-1.1617e-05,,,
